id,bus_code,direction,name,deviation_seconds,updated_at,scheduled_timestamp,our_snapshot_time
444fe207-0c8d-44c5-8dc2-c9371a6cfbe2,N1503,Naples (FS Park Stazione Centrale),Paris - Turin - Naples,0.0,2026-05-20T08:44:08Z,2026-05-20T23:05:00Z,2026-05-20T20:38:22
3b84609a-23d0-43f7-bf98-ec12ff879925,N580,Lyon (Gerland Bus Station),Salerno - Lyon,0.0,2026-05-20T09:50:14Z,2026-05-21T00:10:00Z,2026-05-20T20:38:22
c53d0098-45f1-4259-a360-3ea8f69a56b7,N523,Marseille (Saint-Charles),Naples - Rome - Marseille,1836.0,2026-05-20T18:32:54Z,2026-05-21T00:30:00Z,2026-05-20T20:38:22
d30f5b59-737b-4820-a205-e0228a7565f0,N523,Rome Tiburtina Bus station,Naples - Rome - Marseille,0.0,2026-05-20T17:35:14Z,2026-05-21T00:30:00Z,2026-05-20T20:38:22
0aa24a02-20c3-4546-a0da-7204720f792e,N728,Munich central bus station,Munich/Genoa - Barcelona,0.0,2026-05-20T18:51:23Z,2026-05-20T21:05:00Z,2026-05-20T20:48:22
3e59c7ef-b056-405d-a477-9fe1df21eeb9,N504,Perugia (Piazza Partigiani),Geneva - Turin - Perugia,0.0,2026-05-20T18:44:23Z,2026-05-20T21:20:00Z,2026-05-20T20:48:22
7208b413-3c32-4f06-b37f-9ddcaf340790,N503,Rome Tiburtina Bus station,Turin - Genoa - Rome,,,2026-05-20T21:55:00Z,2026-05-20T20:48:22
263b8f42-2e96-46c4-a3c0-85574aac8053,N482,Zagreb (bus station),Marseille - Zagreb,0.0,2026-05-20T18:44:23Z,2026-05-20T22:30:00Z,2026-05-20T20:48:22
444fe207-0c8d-44c5-8dc2-c9371a6cfbe2,N1503,Naples (FS Park Stazione Centrale),Paris - Turin - Naples,0.0,2026-05-20T08:44:08Z,2026-05-20T23:05:00Z,2026-05-20T20:48:22
3b84609a-23d0-43f7-bf98-ec12ff879925,N580,Lyon (Gerland Bus Station),Salerno - Lyon,0.0,2026-05-20T09:50:14Z,2026-05-21T00:10:00Z,2026-05-20T20:48:22
c53d0098-45f1-4259-a360-3ea8f69a56b7,N523,Marseille (Saint-Charles),Naples - Rome - Marseille,1546.0,2026-05-20T18:43:24Z,2026-05-21T00:30:00Z,2026-05-20T20:48:22
d30f5b59-737b-4820-a205-e0228a7565f0,N523,Rome Tiburtina Bus station,Naples - Rome - Marseille,0.0,2026-05-20T17:35:14Z,2026-05-21T00:30:00Z,2026-05-20T20:48:22
f64000ad-4959-405e-940c-eef0e858adda,N1508,Naples (FS Park Stazione Centrale),Naples - MXP ✈ - BGY ✈,0.0,2026-05-20T18:12:43Z,2026-05-21T00:45:00Z,2026-05-20T20:48:22
0aa24a02-20c3-4546-a0da-7204720f792e,N728,Munich central bus station,Munich/Genoa - Barcelona,104.0,2026-05-20T19:01:24Z,2026-05-20T21:05:00Z,2026-05-20T20:58:23
3e59c7ef-b056-405d-a477-9fe1df21eeb9,N504,Perugia (Piazza Partigiani),Geneva - Turin - Perugia,0.0,2026-05-20T18:55:15Z,2026-05-20T21:20:00Z,2026-05-20T20:58:23
7208b413-3c32-4f06-b37f-9ddcaf340790,N503,Rome Tiburtina Bus station,Turin - Genoa - Rome,0.0,2026-05-20T19:00:35Z,2026-05-20T21:55:00Z,2026-05-20T20:58:23
263b8f42-2e96-46c4-a3c0-85574aac8053,N482,Zagreb (bus station),Marseille - Zagreb,0.0,2026-05-20T18:55:17Z,2026-05-20T22:30:00Z,2026-05-20T20:58:23
444fe207-0c8d-44c5-8dc2-c9371a6cfbe2,N1503,Naples (FS Park Stazione Centrale),Paris - Turin - Naples,0.0,2026-05-20T08:44:08Z,2026-05-20T23:05:00Z,2026-05-20T20:58:23
3b84609a-23d0-43f7-bf98-ec12ff879925,N580,Lyon (Gerland Bus Station),Salerno - Lyon,0.0,2026-05-20T09:50:14Z,2026-05-21T00:10:00Z,2026-05-20T20:58:23
c53d0098-45f1-4259-a360-3ea8f69a56b7,N523,Marseille (Saint-Charles),Naples - Rome - Marseille,1746.0,2026-05-20T18:53:24Z,2026-05-21T00:30:00Z,2026-05-20T20:58:23
d30f5b59-737b-4820-a205-e0228a7565f0,N523,Rome Tiburtina Bus station,Naples - Rome - Marseille,0.0,2026-05-20T17:35:14Z,2026-05-21T00:30:00Z,2026-05-20T20:58:23
f64000ad-4959-405e-940c-eef0e858adda,N1508,Naples (FS Park Stazione Centrale),Naples - MXP ✈ - BGY ✈,0.0,2026-05-20T18:12:43Z,2026-05-21T00:45:00Z,2026-05-20T20:58:23
19ccff4a-1f94-4727-9cd1-69034ad2650f,N1508,Verona (Porta Nuova),Naples - MXP ✈ - BGY ✈,1292.0,2026-05-20T18:55:17Z,2026-05-21T00:50:00Z,2026-05-20T20:58:23
